Restaurant Name,Original food Item
Del Monte,"Freestone Slices, Lite"
Sail,White Shrimp
Baskin Robbins,"Chocolate Almond Ice Cream, 4 oz Scoop"
Emeril's,"Tortilla Chips, Sweet Potato"
Uncle Ben's,Wholegrain Brown Rice
Port of Subs,Classic Sub #3 - 8 inch Medium
Ginny's,Whole Wheat Waffle
Harris Teeter,"100% Durum Semolina Pasta, Rigatoni"
Merzi,Yogurt
The Hungry Hobo,Pink Lemonade
Tabatchnick,Vegetarian Chili Soup Singles
Wienerschnitzel,"Banana Split, Candy"
Nick-N-Willy's Pizza,"Pepperoni Pizza, Medium"
Krispy Kreme,"Original Kreme Latte with 2% Milk, 16 fl oz"
Furr's Family Dining,Chocolate Meringue Pie
Baton Rouge Steakhouse & Bar,Caesar Side Salad
Green Beans Coffee,"Cafe Mocha, 12 oz"
Yogli Mogli,Key Lime Sorbet
Krispy Kreme,"Iced Original Kreme Latte with 2% Milk, 20 fl oz"
Horizon,Mixed Berry Burst
Port of Subs,Classic Sub #17 - 8 inch Medium
Bruster's Real Ice Cream,"Coffee Ripple No Sugar Added Ice Cream on a Sugar Cone, Large"
Kitchens Seafood,Shrimp
Wild Oats Marketplace Organic,"Chewy Granola Bars, Chocolate Chip"
A&W (Canada),"Chocolate Milkshake, 20 oz"
Coffee Culture,"Wicked Thai With Chicken Soup, Entree"
Tijuana Flats,"Dos Enchiladas Filling, Carnitas"
Curves,"Snack Bar, Caramel Peanut Paradise"
Tijuana Flats,"Tijuana Vegetarian Burrito Tortilla Choice, Flour Tortilla"
Yogli Mogli,Blackberry
Boneheads,Rice
Roy Rogers Restaurants,Sausage Gravy & Biscuit
Vocelli Pizza,Chicken Parmesan Sub on Wheat
Sadaf,Shallot Yogurt Dip
Tyson,Grilled & Ready Chicken Breast Strips
Nick-N-Willy's Pizza,"Wild Willy Combo Pizza, Family"
Crazy Bowls & Wraps,Fajita Bowl - Small
Breadsmith,Artisan Breads
Fratelli Mantova,"Pesto, Genovese"
Our Family,"Flour, Self Rising, Bleached, Pre-Sifted"
Our Family,"Cookies, Sandwich Creme, Fudge"
Baskin Robbins,"Gold Medal Ribbon Ice Cream, 4 oz Scoop"
The Hungry Hobo,#15 Roast Beef & Cheddar Sandwich
Port of Subs,"Smoked Ham, Egg and Cheese - 5 inch Small"
Drews,"Organic Salsa, Double Fire Roasted, Medium"
YoCream,Silk Almondmilk Chocolate
Mimi's Cafe,Just Baked All Butter Croissant
Green Beans Coffee,Chocolate Chip Cookie
Roy Rogers Restaurants,Hot Fudge Sundae
Planet Wings,Taco Salad
Just FreshDirect,"Organic Milk, 2% Reduced Fat"
Portillo's,Oven Baked Spaghetti with Meat Sauce
Buddy's Bar-b-q,Hawg Back With Butter & Sour Cream
White Mountain,Organic Bulgarian Yogurt
Buddy's Bar-b-q,"Chocolate Milk Shake, Large"
Whitey's Ice Cream Grocery,Mint Chocolate Chip Ice Cream
Family's Best,"Pierogi, Potato & Cheese"
The Habit Burger Grill,Fat Free Italian Dressing
High Liner,Roasted Mediterranean Cod
Coffee Time,Pecan Tarts
Furr's Family Dining,Black-eyed Peas and Snaps
Ameci Pizza & Pasta,Chicken Ranch Submarine
Bimbo,Muffins
Merzi,Naan
Emerils,Alfredo Sauce Four Cheese
Maizena,"Fortified Corn Starch, Coconut Flavor"
Yogli Mogli,Kiwi Strawberry Splash Sorbet
Russo's New York Pizzeria,"Pancetta Topping, Medium"
Harris Teeter,Mayonnaise
Wayback Burgers,Ranch Dipping Sauce
Thundercloud Subs,"Chicken Salad Sub, Large"
Tom and Chee,Veggie Lentil Soup
Just FreshDirect,Summer Kiss with Lime Melon & A Hint of Lavender
Russo's New York Pizzeria,"Cauliflower Pizza 16 inch, Slice"
Tai Pei,"Meatballs, Japanese Style Chicken"
Thundercloud Subs,"Tuna Sub, Small"
Harris Teeter,"Double Cheddar Cheese, Shredded"
Harris Teeter,Broccoli Florets
Russo's New York Pizzeria,Chicken Parmesan
Chick-fil-A,Sweet & Spicy Sriracha Sauce
Emeril's,Bolognese Marinara Sauce with Beef and Sausage
Ameci Pizza & Pasta,"Whole Wheat Pizza, Jumbo School"
America's Taco Shop,"Carne Asada Quesadilla, Regular"
Familia,"Swiss Muesli, No Added Sugar"
Coffee Time,Roast Beef Deluxe Sandwich
Fresh Gourmet,Lightly Salted Crispy Jalapenos
Cold Stone Creamery,Graham Cracker Pie Crust
Tyson,Fully Cooked Seasoned Steak Strips
Our Family,"Salsa, Thick & Chunky, Hot"
Tabatchnick,Wildberry Steel Cut Oatmeal Singles
Tom and Chee,Minute Main Lemonade
KA-ME,"Rice Crackers, Korean Barbecue"
A&W (Canada),"Vanilla Milkshake, 12 oz"
Bruster's Real Ice Cream,"Strawberry Ice Cream on a Waffle Cone, Large"
Roy Rogers Restaurants,Double Cheeseburger
Thundercloud Subs,"Nada Chicken Low-Fat Sub, Large"
Yoshinoya,Asian BBQ Wings Plate - 6 piece
Drews,"Salsa, Thick & Chunky, Hot"
Koyo,Organic Coconut Milk
Portillo's,"Diet Coke, Large"
Pampa,Mixed Fruit
Koyo,"Rice Cake, Salted"
Our Family,"Pineapple, Chunks"
Portillo's,Mostaccioli With Marinara Sauce
Baskin Robbins,"Salty Caramel Ice Cream, 4 oz Scoop"
Crazy Bowls & Wraps,Sweet & Sour Bowl - Regular
Russo's New York Pizzeria,"Truffle Mushroom Sauce Topping, Party"
Magic Wok,"Pad Thai, Chicken"
East Side Mario's,Four Cheese & Spinach Dip With Side Crostini
Tabatchnick,Roasted Red Pepper and Tomato Soup
Yogli Mogli,Pistachio
Lion's Choice,Provel Cheese
Tijuana Flats,"Dos Enchiladas Filling, Refried Beans"
Mimi's Cafe,Red Wine Shallot Vinaigrette
Happy Joe's,"Chicken Pan Crust Pizza, 9 inch"
Dorothy Lynch,"Home Style Dressing, Fat Free"
Mike's Restaurants,Kids Chocolate-Banana Smoothie
Cafe Zupas,Chocolate Mousse Cake
Crazy Bowls & Wraps,Stir-Fry Bowl - Regular
Brar's,Clarified Butter
Protein House,"Cookies and Cream Iced Coffee, 16 oz"
Koyo,"Organic Rice Crackers, No Salt"
Roti,"Melon Mint Coconut Water, 24 oz"
Pepperjax Grill,"Milk, 2%"
Baton Rouge Steakhouse & Bar,Red Velvet Cake
Firehouse Subs,Jamaican Jerk Turkey - Small
Quaker Steak & Lube,"Grilled Boneless Wings, 48 (15 servings) with Wing Sauce Choice Kentucky Bourbon Glaze"
East Side Mario's,Add Protein -Julienne Chicken
Bruster's Real Ice Cream,"Black Raspberry Sorbet in a Dish, Large"
Baton Rouge Steakhouse & Bar,House or Mixed Salad
Wow Bao,"Potstickers, Chicken"
Chick-fil-A,Grilled Chicken Bundle (Per Meal)
Wild Oats,Mushroom Pasta Sauce
Northern Chef,Snow Crab Claws
Veggie Patch,Char-Grilled Meatless Burgers
Pampa,Instant Coffee
Dell Alpe,"Artichoke Hearts, Quartered & Marinated"
Wild Oats Marketplace,Organic Mild Salsa
Del Monte,"Corn, Whole Kernel, Golden Sweet"
Taco Bell Canada,Beef Chalupa Supreme
Tropical Smoothie Cafe,"Coca-Cola, 12 fl oz"
Ameci Pizza & Pasta,Garlic Bread
Taco Bueno,"Taco Platter Chicken Soft Chicken Taco, 2 each"
Dare,"Veggie Breton Bites, Bite-Size Crackers"
Wild Oats Marketplace,Crunchy Peanut Butter
Jayone,"Seaweed Snack, Roasted Seasoned"
America's Taco Shop,Tomato Sauce
Shopsy's,"All Beef Frankfurter, Original Recipe"
Roy Rogers Restaurants,"Ham, Egg & Cheese Sandwich on Biscuit"
Vocelli Pizza,Large Meat Magnifico Pizza Slice
Crazy Bowls & Wraps,Pesto Wrap
Nalley Fresh,Noodle Bowl
Del Monte,"Fruit Burst, Blueberry Flavor"
Quaker Steak & Lube,"Caesar Salad, Serves 4-6 (6 servings) with Protein Choice Grilled Top Sirloin Steak"
Port of Subs,Garden Salad - 15-20 Guests
High Liner,"Salmon, Wild Pacific"
Duck Donuts,Doughnut Sundae With Vanilla Ice Cream
Mimi's Cafe,Iced Mocha with Orange Flavor
241 Pizza,Cauliflower Pizza Crust
Taco Bell Canada,Cinnabon Delights (4 Pack)
Jayone,Fermented Soybean Paste
Planet Wings,"Beef Taco, Crispy"
White Spot Restaurants,Quinoa & Cauliflower Power Salad
East Side Mario's,Mario's Spaghettini And Meatballs Gigantico
Coffee Time,Almond Hazelnut Biscotti
Taco Bell Canada,Side of Reduced-Fat Sour Cream
Norman's,"Greek Yogurt, Vanilla Bean"
East Side Mario's,"Meatballs, Large Pizza Topping"
Uncle Ben's,Sweet and Sour Rice & Sauce
Sadaf,Spinach Couscous
White Spot Restaurants,Kids Chicken Tenders
High Liner,Haddock Loins
Back Yard Burgers,Blackberry Cobbler A La Mode
Duke's,Original Recipe Sausages
World of Beer,Black and Tan Sliders
Wild Oats Marketplace Organic,"Cereal, Honey Nut Toasted Oats"
Shaner's,"Chicken Tenders, Parmesan"
Silver Mine Subs,Baked BBQ Lays Chips
Turbos,"Flamas, Corn Snacks"
Port of Subs,Chef Salad
Buddy's Bar-b-q,"Chicken Sandwich, Large"
Tai Pei,Combination Fried Rice
Green Beans Coffee,"Spiced Chai Smoothie, 32 oz"
Happy Joe's,"Chicken Bacon Ranch Pan Crust Pizza, 12 inch"
Betty Crocker,"Hamburger Helper, Salisbury"
Cork's,Kettle Corn
Tom's,"Pork Cracklin Strips, Mildly Seasoned with Red Pepper"
Tyson,Breaded Chicken Breast Tenderloins
Emeril's,"Wild American Shrimp, Raw, Peeled"
Triple O's,Egg BLT on Ciabatta
Pretzelmaker,"Salted Pretzel Bites, Large"
Cafe Yumm!,"Yumm! Sauce, Chipotle"
Russo's New York Pizzeria,Red Velvet Cake
A&W (Canada),"Diet Coke, 20 oz"
Tyson,"Boneless Chicken Wyngz, Mango Habanero"
Duck Donuts,"Donut, Bacon Egg And Cheese"
Candy's,"Corn Tortillas, Stone Ground Econo Pack 24 Oz"
Taco Bueno,"Cheesy Chicken Chilada Platter Cheesy Chicken Chilada, 2 each"
Jamba,"Strawberry Whirl Smoothie, 16 fl. oz."
Mike's Restaurants,1 Egg Any Style with Ham
Silver Mine Subs,Raspberry Vinaigrette
Tubby's,Pizza Steak & Cheese (Regular)
Port of Subs,Grilled Chicken Teriyaki Melt - Flatbread
World of Beer,Spring Greens and Kale Salad with Grilled Chicken Breast
Back Yard Burgers,"Sweet Potato Fries, prepared, 9 oz. Large"
KA-ME,Japanese Curly Noodles
Tim Horton's,"Iced Coffee (with Cream & Sugar), Large"
Norman's,Vanilla Light Yogurt
Wayback Burgers,Kids Cheeseburger
Taco Bueno,Burrito Rice Bowl Fajita Chicken
The Hungry Hobo,Cheddar Baked Potato Soup
The Hungry Hobo,"Chef Salad, Ham and Turkey"
Furr's Family Dining,Steamed Rice
Wg Grinders,Ham & Turkey Grinder
Ninety Nine Restaurants,99 Buffalo Wing Bone-In Bar Promotion (6 wings and carrot sticks)
Nick-N-Willy's Pizza,Garden Veggie Calzone
Chick-fil-A,Hash Brown Scramble Bowl with Nuggets
Back Yard Burgers,"Mug Root Beer, Kids, 12 oz."
Our Family,"Yogurt, Nonfat, Light, Blueberry"
Wild Oats Marketplace,"Natural Peanut Butter, Crunchy"
Frullati Cafe & Bakery,Olives
A&W (Canada),Chipotle Mayonnaise
Christie's,"Fudge Covered Oreo Sandwich Cookies, Mint Creme"
White Spot Restaurants,Monty Mushroom Bigger Burger
Tyson,Chicken Half Breasts
Harris Teeter,"Sour Cream, Lite"
Happy Joe's,"Spaghetti Joe Original Crust Pizza, 6 inch"
Cold Stone Creamery,"Dulce De Leche Ice Cream, Gotta Have It"
Krispy Kreme,"Iced Original Kreme Latte with 2% Milk, 12 fl oz"
Blimpie,"Country Time Lemonade, 21 oz"
TacoTime,Chicken B.L.T. Burrito
Drew's,"Dressing & Quick Marinade, Peppercorn Ranch"
Blimpie,"Mtn Dew Sangrita Blast, 12 oz"
Sadaf,"Tamarind, Seedless"
Furr's Family Dining,California Peaches and Bananas
Portillo's,Breaded Chicken Club
Bimbo,"Creme Sandwich Cookies, Vanilla"
Back Yard Burgers,"Shake, Chocolate Oreo"
Sobey's,Quinoa
Furr's Family Dining,Fresh Steamed Cabbage
Happy Joe's,"Green Olives Original Crust Pizza, 6 inch"
Tyson,Fully Cooked & Breaded Chicken Patties
Planet Wings,Hot Sauce
241 Pizza,"Meat Lovers Pizza, Medium Slice"
Coffee Culture,Spinach And Feta Twisters
Wienerschnitzel,"Shake, M&M's"
Montini,100% Grated Parmesan Cheese
Crazy Bowls & Wraps,Roasted Cauliflower
Hall's,The Original Snappy Beer Cheese
Drew's,Caramel Corn
Duchess Shoppe,Sausage Gravy Stuffer
Taco Bueno,#6 Cheese Quesadilla Cheese Quesadilla
Back Yard Burgers,Hot Dog Bundle
Burger King,"Cheesecake, New York Style"
De Dutch Pannekoek House,"Quesadilla, Cheese"
High Liner,Battered Cod Fillet
Mcmenamins,Turkey Sandwich with Herb-Roasted Turkey
Portillo's,Stuffed Green Pepper Soup
The Habit Burger Grill,Fire Roasted Corn
Purebread Deli,Chocolate Chip Cookie
Coffee Culture,Egg & Cheese English Muffin With Sausage
America's Taco Shop,"Flour Tortilla, Large, 13 inch"
Horizon,Organic Egg Whites
Quaker Steak & Lube,NY Strip Steak
Moxie's Classic Grill,Naan Bread with Curry Butter
Pretzelmaker,"Strawberry Lemonade, Large"
Duke's,Honey Bourbon Beef Jerky
Purebread Deli,"Mug Root Beer, Large"
Taco Bueno,Diet Dr Pepper 22oz
De Dutch Pannekoek House,"Omelette, Spinach & Cheese with Salad"
Magic Wok,Orange Chicken
Baton Rouge Steakhouse & Bar,Ribs with House Salad
Yoshinoya,Kid's Meal - Teriyaki Skinless Chicken
Perkins Restaurant And Bakery,"Homestyle Apple Pie, Slice"
Garden Fresh Gourmet,Roasted Red Pepper Hummus
Concord Foods,"Smoothie Mix, Strawberry"
Furr's Family Dining,Crunchy Broccoli and Cauliflower Salad
East Side Mario's,"Bacon Strips, Regular Pizza Topping"
Boneheads,Ranch Dressing
Pretzelmaker,Pepperoni Pretzel Roll
Perkins Restaurant And Bakery,Kids' Fresh Cut Fruit
Perkins Restaurant And Bakery,Country Sausage Biscuit Breakfast
The Hungry Hobo,California Medley Soup
Earls,Steak And Coconut Prawns And Rice
Drews,"Organic Salsa, Thick & Chunky, Medium"
Back Yard Burgers,"Shake, Peanut Butter"
Cafe Zupas,"Salad Toppings, Grapes"
Garden Fresh Gourmet,"Salsa, Artichoke Garlic, Mild"
Charley's Philly Steaks,"Chicken Philly Cheesesteak, Small"
Kirkwood,Honey BBQ Chicken Wings
Baskin Robbins,"Bananas 'N Strawberries Ice Cream, 2.5 oz Scoop"
Concord Foods,"Roasted Potato Seasoning Mix, Bacon & Chive"
Halawa,Pistachio
Curves,"Meal Bar, Peanut Butter Chocolate"
Pampa,"Garlic, with Spices"
Purebread Deli,Blue Cheese Dressing
Good Times Burgers & Frozen Custard,"Kid's Fries, Natural Cut"
Lion's Choice,Large Roast Beef Sandwich with Cheddar on Steak Bun
Purebread Deli,Multi-Grain Bagel
Sai Balaji,Dosa Mix
Duchess Shoppe,32 oz Diet Coke
Cold Stone Creamery,"White Chocolate Ice Cream, Gotta Have It"
Kitchens Seafood,Calamari Rings
Green Beans Coffee,"Strawberry Smoothie, 24 oz"
YoCream,Creamy Limoncello Gelato
Cold Stone Creamery,"Salted Caramel Ice Cream, Like It"
Green Beans Coffee,Banana Muffin
Safeway Select,"Brie Bites, Apple Fig Appetizers"
Pretzelmaker,"Diet Coke, Regular"
Stubb's,Seasoned Bar-B-Q Chicken Sauce
America's Taco Shop,Chicken Torta
Duchess Shoppe,32 oz Diet Mountain Dew
Moxie's Classic Grill,Smoky Bacon & Aged White Cheddar Omelette
Concord Foods,Pumpkin Spice Caramel Dip
HoSan,Oriental Style Noodle
Portillo's,Hot Chocolate
Wayback Burgers,Kids Strawberry Banana Milkshake
Blimpie,"Seagram's Tonic Water, 12 oz"
Fresh Gourmet,"Tortilla Strips, Lightly Salted"
World of Beer,Avocado Toast with Eggs Any Style
Cafe Zupas,"Mixed Greens, Large"
Magic Wok,Steamed Brown Rice (6 oz)
World of Beer,Huevos Rancheros
Taco Bell Canada,Side of Guacamole
World of Beer,Warm Donut Bites
Dari,Whole Wheat Couscous
Back Yard Burgers,Strawberry Cobbler
Cereality,"Strawberry French Toast, 2%, Small"
The Pickle Barrel,Classic Burger
Mauna Loa,Wasabi and Teriyaki Macadamias
Crazy Bowls & Wraps,Thai Wrap
Wild Oats Marketplace,Mung Beans Brown Flaxseed Brown Rice Blend
Silver Mine Subs,Feta Cheese for Large Sub
The Hungry Hobo,Pumpkin Spice
Duchess Shoppe,Bacon Cheddar Burger
Wild Oats Marketplace,Organic Spaghetti
Wienerschnitzel,"Lemonade, 30 oz (without ice)"
Bruster's Real Ice Cream,"White Raspberry Truffle in a Dish, Regular"
Dare,"Cookies, Coconut Creme"
Tony Roma's,Baby Back Pork Ribs
Coffee Culture,"Sauteed Mushroom & Onion Bisque, Side"
Pepperjax Grill,Tomatoes
Triple O's,Hashbrown
Sadaf,100% PUre Sesame Tahini
Tropical Smoothie Cafe,"Dasani Bottled Water, 20 fl oz"
Jamba,"Aloha Pineapple Smoothie, 28 fl. oz."
Kirkwood,"Turkey with Monterey Jack, Chipotle Peppers"
High Liner,Roasted Garlic & Herb Sole Breaded Fillet
Blimpie,Frosted Sugar Cookie
Blizz Frozen Yogurt,Chocolate Frozen Yogurt
Nick-N-Willy's Pizza,"Pepperoni Pizza, Large"
Baton Rouge Steakhouse & Bar,Creamy Potato Soup
Thundercloud Subs,"Roast Beef & Avocado Sub, Small"
Tabatchnick,Frenchman's Onion Soup
Mauna Loa,"Macadamias, Dry Roasted"
Rachael Ray,Smoky BBQ Sauce
Mimi's Cafe,Hickory Bacon Cheddar Burger
Cereality,Wheaties
Cold Stone Creamery,Chocolate Sprinkles
Del Monte,Sliced Beets
Wayback Burgers,Kids Strawberry Milkshake
Our Family,"Cereal, Bran"
Happy Joe's,"Canadian Bacon Pan Crust Pizza, 6 inch"
Silver Mine Subs,Pepper Jack Cheese for Large Sub
Buddy's Bar-b-q,Corn On The Cob
Buddy's Bar-b-q,"Ham Sandwich, Regular"
Coffee Culture,Mini Almond Hazelnut Biscotti
Mimi's Cafe,"Sandwiches, Roasted Chicken Croque Monsieur"
Nick-N-Willy's Pizza,"Garlic Chicken with Smoked Bacon Pizza, Personal"
Whitey's Ice Cream Grocery,"Ice Cream, Vanilla"
Ameci Pizza & Pasta,Side Order Sausage Links
Crazy Bowls & Wraps,Buffalo Lettuce Wrap
Lifeway,"Organic Kefir, Peaches"
A&W (Canada),"Diet A&W Root Beer, 20 oz"
Pampa,"Instant Bouillon Flavor Cubes, Beef"
Harris Teeter,Chef's Recipe Wild Mushroom Bisque
Tabatchnick,Gourmet Beef Flavored Broth
Tropical Smoothie Cafe,Snickerdoodle Cookie
World of Beer,BYO Burger with Chipotle Mayo Sauce
Baskin Robbins,"Made With M&M's 31 Below, Large"
Furr's Family Dining,Texas-Style Garlic Toast
Jack Astor's Bar & Grill,My Cookie Ate Your Brownie
A&W (Canada),"Chicken Buddy Burger, Lettuce-Wrapped"
Perkins Restaurant And Bakery,"Build Your Own Omelet, Fresh Mushrooms"
The Habit Burger Grill,"Onion Rings, Salt Added"
Chickpea,Pita Bread (Wheat)
TacoTime,Honey Mustard
White Spot Restaurants,Quinoa & Cauliflower Power Salad without Dressing
Wild Oats Marketplace Organic,"Organic Granola Bars, Crunchy Oats & Honey"
Yoshinoya,Grilled Tilapia with Rice & Vegetables Topped with Lemon Butter Sauce
Baton Rouge Steakhouse & Bar,BBQ Pork Back Ribs and Shrimp
Del Monte,Diced Mangos in Light Syrup
Papa Murphy's,Hawaiian - Thin Family Slice
Back Yard Burgers,Baked Potato
Tropical Smoothie Cafe,Island Chicken Quesadilla
Mimi's Cafe,Mocha Latte
Green Beans Coffee,"Hot Chocolate, 12 oz"
Back Yard Burgers,Blackened Chicken Sandwich
Sobey's,Extra Lean Ground Beef
Christie's,"Crispers Baked Snacks, Salt & Vinegar"
Chick-fil-A,Spicy Chicken Sandwich
Quaker Steak & Lube,Grilled Boneless Wings and Pick-Up Pickles with Wing Sauce Choice Asian Sesame
Mike's Restaurants,"Philly Steak Saint-Raymond Poutine, Large & Delivery Serving"
Thundercloud Subs,"N.Y. Italian Sub, Small"
Drews,"Dressing & Quick Marinade, Smoked Tomato"
Ninety Nine Restaurants,99 Honey Mustard
East Side Mario's,"Cherry Peppers, Lunch Pizza Topping"
Kaizen,"Natural Whey Protein, Unflavored"
Mcmenamins,Cheeseburger
Pinkberry,"Meyer Lemon Yogurt, Take Home"
KA-ME,Chinese Plain Noodles
Burrito Boyz,"Large White Burrito, Cheese"
Jamba,"Orange C-Booster Smoothie, 22 fl. oz."
Rushing Waters,"Wild Salmon Burgers, Traditional"
Frullati Cafe & Bakery,Roast Beef Sandwich
Back Yard Burgers,Back Yard Double Classic Burger
Buddy's Bar-b-q,Regular Potato Chips
Koyo,Reduced Sodium Asian Vegetable Ramen
Pinkberry,Dark Chocolate Crisps Topping
Cold Stone Creamery,"Sweet Cream Ice Cream, Love It"
Weight Watchers,"Cookie, Chocolate Chip"
Pepperjax Grill,Carrots
Tender Bison,All Natural Cube Steak
Chick-fil-A,"Chili Lime Pepitas, Salad Topping"
World of Beer,Cali Bowl with Beer Battered Shrimp
Frullati Cafe & Bakery,"Chocolate Banana Smoothie, Small"
Tom's,"Oven-Baked Fries, Bacon & Cheddar"
Russo's New York Pizzeria,"Spinach, Kale, Artichoke Pizza 16 inch, Slice"
Sea Pak Shrimp Co.,"Shrimp, Breaded, Butterfly"
Mauna Loa,Milk Chocolate Coconut Macadamias
East Side Mario's,"Spinach, Lunch Pizza Topping"
Just Fresh,"Smoothies, The Green Smoothie"
Coffee Culture,"Salted Caramel Latte, Large"
Organic Drew's,Blueberry & Pomegranate with Chia Dressing
Lifeway,"ProBugs Organic Whole Milk Kefir Cultured Milk Smoothie, Sublime Slime Lime"
East Side Mario's,"Meatballs, Regular Pizza Topping"
Magic Wok,"Fried Rice, Shrimp"
Organic Drew's,Blackberry & Pomegranate With Chia
Thundercloud Subs,"Austin Club Sub, Large"
Ameci Pizza & Pasta,Meat Ravioli
Burrito Boyz,"Small Whole Wheat Burrito, Sweet Potato"
Sujata,Roti
Tijuana Flats,"Megajuana Vegetarian Burrito Topping, Jalapenos"
TacoTime,"Stuffed Mexi Fries, Regular"
Tyson,Chicken Nuggets
Port of Subs,Classic Sub #12 - Salad
Amay's,Almond Cookies
Protein House,"Cookies and Cream Iced Coffee, 24 oz with Flavor Choice Hazelnut Flavor"
White Spot Restaurants,Prawn & Avocado Flatbread with Jalapeno Ranch
Magic Wok,"Fried Rice, Chicken"
Coffee Culture,"Tomato Roasted Red Pepper Bisque With Gouda, Side"
Crazy Bowls & Wraps,BBQ Lettuce Wrap
Safeway Select,Four Cheese Pizza
The Hungry Hobo,Black Angus Steak & Provolone & Onions Grilled Sandwich
Good Times Burgers & Frozen Custard,"Oregon Blackberry Shake, Small"
Maizena,"Beverage Mix, Fortified Corn Starch, Strawberry Flavor"
Koyo,Unsalted Buckwheat Sarrasin Natural Rice Cakes
Tyson,Chicken Breast Tenderloins
Silver Mine Subs,Frank's Red Hot Sauce for Small Sub
Kitchens Seafood,Crab & Cheese Bites
Planet Wings,Zinfandel Dressing
Baton Rouge Steakhouse & Bar,New York Striploin 10 oz
Pampa,Cream Cheese Frosting
Coffee Culture,"Chai Latte, Regular"
The Hungry Hobo,Butter
Duchess Shoppe,"Bacon, Egg & American Cheese English Muffin"
Green Beans Coffee,"Mocha Frappe, 24 oz"
Cafe Zupas,"Sandwiches, Pesto Chicken, Wheat"
Hokan,Sliced Bamboo Shoots
